"ingredient","merchant","location","count","effect","weight","value"
"Alit Hide","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Daynali Dren","Tel Mora, Lower Tower","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Ernand Thierry","Caldera, Guild of Mages","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Sedris Omalen","Maar Gan, Outpost","10","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Ampoule Pod","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Tusamircil","Wolverine Hall, Mages Guild","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Ernand Thierry","Caldera, Guild of Mages","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Jolda","Tel Mora, Jolda: Apothecary","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ash Salts","Relms Gilvilo","Vivec, Redoran Temple Shrine","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Tivam Sadri","Holamayan Monastery","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Folvys Andalor","Ald'ruhn Temple","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Eldrilu Dalen","Vos, Vos Chapel","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Telis Salvani","Balmora, Temple","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Somutis Vunnis","Moonmoth Legion Fort, Interior","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Scelian Plebo","Wolverine Hall, Imperial Shrine","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Yam","Chaplain Ogrul","Gnisis, Fort Darius","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Milar Maryon","Tel Vos, Services Tower","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Ygfa","Pelagiad, Fort Pelagiad","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Aunius Autrus","Wolverine Hall, Imperial Shrine","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Eldrilu Dalen","Vos, Vos Chapel","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Dulian","Buckmoth Legion Fort, Interior","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Zanmulk Sammalamus","Gnisis, Temple","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Bittergreen Petals","Telis Salvani","Balmora, Temple","5","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Cocistian Quaspus","Buckmoth Legion Fort","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Zanmulk Sammalamus","Gnisis, Temple","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Ygfa","Pelagiad, Fort Pelagiad","5","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Vaval Selas","Vivec, St. Olms Temple","5","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Black Anther","Daynali Dren","Tel Mora, Lower Tower","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Andil","Tel Vos, Services Tower","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Ajira","Balmora, Guild of Mages","5","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Brarayni Sarys","Tel Aruhn, Tower Entry","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Lichen","Sedris Omalen","Maar Gan, Outpost","3","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Black Lichen","Relms Gilvilo","Vivec, Redoran Temple Shrine","5","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Black Lichen","Irna Maryon","Tel Aruhn, Tower Entry","3","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Black Lichen","Dralval Andrano","Balmora, Temple","5","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Black Lichen","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","5","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Black Lichen","Jolda","Tel Mora, Jolda: Apothecary","5","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Black Lichen","Somutis Vunnis","Moonmoth Legion Fort, Interior","5","Drain Strength, Resist Frost, Drain Speed, Cure Poison","0.1","2"
"Bloat","Aunius Autrus","Wolverine Hall, Imperial Shrine","5","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bloat","Mehra Drora","Gnisis, Temple","10","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bloat","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bloat","Daynali Dren","Tel Mora, Lower Tower","10","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bloat","Anarenen","Ald'ruhn, Guild of Mages","5","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bloat","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bloat","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Drain Magicka, Fortify Intelligence, Fortify Willpower, Detect Animal","0.1","5"
"Bonemeal","Milar Maryon","Tel Vos, Services Tower","5","Restore Agility, Telekinesis, Drain Fatigue, Drain Personality","0.2","2"
"Bonemeal","Ulumpha gra-Sharob","Gnisis, Fort Darius","5","Restore Agility, Telekinesis, Drain Fatigue, Drain Personality","0.2","2"
"Bonemeal","Scelian Plebo","Wolverine Hall, Imperial Shrine","5","Restore Agility, Telekinesis, Drain Fatigue, Drain Personality","0.2","2"
"Bonemeal","Anarenen","Ald'ruhn, Guild of Mages","5","Restore Agility, Telekinesis, Drain Fatigue, Drain Personality","0.2","2"
"Bonemeal","Garas Seloth","Vivec, Telvanni Alchemist","5","Restore Agility, Telekinesis, Drain Fatigue, Drain Personality","0.2","2"
"Bonemeal","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Restore Agility, Telekinesis, Drain Fatigue, Drain Personality","0.2","2"
"Bungler's Bane","Dralval Andrano","Balmora, Temple","5","Drain Speed, Drain Endurance, Dispel, Drain Strength","0.5","1"
"Bungler's Bane","Danoso Andrano","Ald'ruhn, Temple","10","Drain Speed, Drain Endurance, Dispel, Drain Strength","0.5","1"
"Bungler's Bane","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Drain Speed, Drain Endurance, Dispel, Drain Strength","0.5","1"
"Bungler's Bane","Tusamircil","Wolverine Hall, Mages Guild","5","Drain Speed, Drain Endurance, Dispel, Drain Strength","0.5","1"
"Bungler's Bane","Jolda","Tel Mora, Jolda: Apothecary","5","Drain Speed, Drain Endurance, Dispel, Drain Strength","0.5","1"
"Chokeweed","Vaval Selas","Vivec, St. Olms Temple","5","Drain Luck, Restore Fatigue, Cure Common Disease, Drain Willpower","0.1","1"
"Chokeweed","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Drain Luck, Restore Fatigue, Cure Common Disease, Drain Willpower","0.1","1"
"Chokeweed","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Drain Luck, Restore Fatigue, Cure Common Disease, Drain Willpower","0.1","1"
"Chokeweed","Ygfa","Pelagiad, Fort Pelagiad","5","Drain Luck, Restore Fatigue, Cure Common Disease, Drain Willpower","0.1","1"
"Chokeweed","Felara Andrethi","Tel Aruhn, Tower Living Quarters","4","Drain Luck, Restore Fatigue, Cure Common Disease, Drain Willpower","0.1","1"
"Chokeweed","Telis Salvani","Balmora, Temple","5","Drain Luck, Restore Fatigue, Cure Common Disease, Drain Willpower","0.1","1"
"Coda Flower","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Coda Flower","Danoso Andrano","Ald'ruhn, Temple","10","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Coda Flower","Brarayni Sarys","Tel Aruhn, Tower Entry","5","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Coda Flower","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Coda Flower","Ernand Thierry","Caldera, Guild of Mages","5","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Coda Flower","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Coda Flower","Peragon","Moonmoth Legion Fort, Interior","5","Drain Personality, Levitate, Drain Intelligence, Drain Health","0.1","23"
"Comberry","Ajira","Balmora, Guild of Mages","5","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Comberry","Telis Salvani","Balmora, Temple","5","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Comberry","Anarenen","Ald'ruhn, Guild of Mages","10","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Comberry","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Comberry","Milar Maryon","Tel Vos, Services Tower","10","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Comberry","Andilu Drothan","Vivec Foreign Quarter, Andilu Drothan: Alchemist","5","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Comberry","Felara Andrethi","Tel Aruhn, Tower Living Quarters","10","Drain Fatigue, Restore Magicka, Fire Shield, Reflect","0.1","2"
"Corkbulb Root","Ernand Thierry","Caldera, Guild of Mages","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Llarara Omayn","Balmora, Temple","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Tivam Sadri","Holamayan Monastery","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Sedris Omalen","Maar Gan, Outpost","10","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Eldrilu Dalen","Vos, Vos Chapel","10","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Guls Llervu","Ald'ruhn, Guls Llervu's House","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Tusamircil","Wolverine Hall, Mages Guild","10","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corkbulb Root","Arrille","Seyda Neen, Arrille's Tradehouse","5","Cure Paralyzation, Restore Health, Lightning Shield, Fortify Luck","0.1","5"
"Corprus Weepings","Arnand Liric","Buckmoth Legion Fort, Interior","5","Drain Fatigue, Fortify Luck, Drain Willpower, Restore Health","0.1","50"
"Corprus Weepings","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","5","Drain Fatigue, Fortify Luck, Drain Willpower, Restore Health","0.1","50"
"Corprus Weepings","Scelian Plebo","Wolverine Hall, Imperial Shrine","5","Drain Fatigue, Fortify Luck, Drain Willpower, Restore Health","0.1","50"
"Corprus Weepings","Folvys Andalor","Ald'ruhn Temple","5","Drain Fatigue, Fortify Luck, Drain Willpower, Restore Health","0.1","50"
"Corprus Weepings","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","3","Drain Fatigue, Fortify Luck, Drain Willpower, Restore Health","0.1","50"
"Crab Meat","Ajira","Balmora, Guild of Mages","5","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Crab Meat","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Crab Meat","Daynali Dren","Tel Mora, Lower Tower","10","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Crab Meat","Chaplain Ogrul","Gnisis, Fort Darius","10","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Crab Meat","Anarenen","Ald'ruhn, Guild of Mages","10","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Crab Meat","Milar Maryon","Tel Vos, Services Tower","10","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Crab Meat","Tusamircil","Wolverine Hall, Mages Guild","10","Restore Fatigue, Resist Shock, Lightning Shield, Restore Luck","0.5","1"
"Daedra Skin","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","1","Fortify Strength, Cure Common Disease, Paralyze, Swift Swim","0.2","200"
"Daedra Skin","Garas Seloth","Vivec, Telvanni Alchemist","2","Fortify Strength, Cure Common Disease, Paralyze, Swift Swim","0.2","200"
"Daedra Skin","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","2","Fortify Strength, Cure Common Disease, Paralyze, Swift Swim","0.2","200"
"Daedra Skin","Brarayni Sarys","Tel Aruhn, Tower Entry","2","Fortify Strength, Cure Common Disease, Paralyze, Swift Swim","0.2","200"
"Daedra's Heart","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","2","Restore Magicka, Fortify Endurance, Drain Agility, Night Eye","1.0","200"
"Daedra's Heart","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","2","Restore Magicka, Fortify Endurance, Drain Agility, Night Eye","1.0","200"
"Daedra's Heart","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","1","Restore Magicka, Fortify Endurance, Drain Agility, Night Eye","1.0","200"
"Daedra's Heart","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","1","Restore Magicka, Fortify Endurance, Drain Agility, Night Eye","1.0","200"
"Diamond","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","2","Drain Agility, Invisibility, Reflect, Detect Key","0.2","250"
"Diamond","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","1","Drain Agility, Invisibility, Reflect, Detect Key","0.2","250"
"Diamond","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","4","Drain Agility, Invisibility, Reflect, Detect Key","0.2","250"
"Diamond","Daynali Dren","Tel Mora, Lower Tower","3","Drain Agility, Invisibility, Reflect, Detect Key","0.2","250"
"Diamond","Anarenen","Ald'ruhn, Guild of Mages","2","Drain Agility, Invisibility, Reflect, Detect Key","0.2","250"
"Diamond","Brarayni Sarys","Tel Aruhn, Tower Entry","2","Drain Agility, Invisibility, Reflect, Detect Key","0.2","250"
"Dreugh Wax","Jolda","Tel Mora, Jolda: Apothecary","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Dreugh Wax","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Dreugh Wax","Danoso Andrano","Ald'ruhn, Temple","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Dreugh Wax","Mehra Drora","Gnisis, Temple","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Dreugh Wax","Somutis Vunnis","Moonmoth Legion Fort, Interior","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Dreugh Wax","Salen Ravel","Maar Gan, Shrine","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Dreugh Wax","Relms Gilvilo","Vivec, Redoran Temple Shrine","5","Fortify Strength, Restore Strength, Drain Luck, Drain Willpower","0.2","100"
"Ectoplasm","Danoso Andrano","Ald'ruhn, Temple","5","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Ectoplasm","Llarara Omayn","Balmora, Temple","5","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Ectoplasm","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","5","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Ectoplasm","Salen Ravel","Maar Gan, Shrine","5","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Ectoplasm","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","5","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Ectoplasm","Tivam Sadri","Holamayan Monastery","10","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Ectoplasm","Galuro Belan","Vivec, Telvanni Apothecary","3","Fortify Agility, Detect Animal, Drain Strength, Drain Health","0.1","10"
"Emerald","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","2","Fortify Magicka, Restore Health, Drain Agility, Drain Endurance","0.2","150"
"Emerald","Scelian Plebo","Wolverine Hall, Imperial Shrine","2","Fortify Magicka, Restore Health, Drain Agility, Drain Endurance","0.2","150"
"Emerald","Cocistian Quaspus","Buckmoth Legion Fort","2","Fortify Magicka, Restore Health, Drain Agility, Drain Endurance","0.2","150"
"Emerald","Irna Maryon","Tel Aruhn, Tower Entry","2","Fortify Magicka, Restore Health, Drain Agility, Drain Endurance","0.2","150"
"Emerald","Folvys Andalor","Ald'ruhn Temple","3","Fortify Magicka, Restore Health, Drain Agility, Drain Endurance","0.2","150"
"Fire Petal","Cocistian Quaspus","Buckmoth Legion Fort","5","Resist Fire, Drain Health, Spell Absorption, Paralyze","0.1","2"
"Fire Petal","Galuro Belan","Vivec, Telvanni Apothecary","5","Resist Fire, Drain Health, Spell Absorption, Paralyze","0.1","2"
"Fire Petal","Mehra Drora","Gnisis, Temple","5","Resist Fire, Drain Health, Spell Absorption, Paralyze","0.1","2"
